key,label,count,variants
ед,Едо,79,{'Едо': 79}
англ,Англии,65,"{'Англии': 50, 'Англию': 15}"
кита,Китае,63,"{'Китае': 41, 'Китай': 22}"
япон,Японии,62,"{'Японию': 20, 'Японии': 42}"
манил,Маниле,43,"{'Манилу': 9, 'Манилы': 6, 'Маниле': 24, 'МАНИЛЫ': 4}"
нагасак,Нагасаки,39,{'Нагасаки': 39}
европ,Европы,39,"{'Европы': 15, 'Европу': 10, 'Европе': 14}"
якутск,Якутска,38,"{'Якутску': 4, 'Якутска': 18, 'Якутске': 8, 'Якутск': 8}"
петербург,Петербурге,37,"{'Петербурга': 14, 'Петербурге': 17, 'Петербург': 6}"
шанха,Шанхай,35,"{'Шанхай': 19, 'Шанхае': 16}"
росс,России,29,"{'Россию': 10, 'России': 19}"
лондон,Лондон,25,"{'Лондон': 11, 'Лондона': 5, 'Лондоне': 9}"
сингапур,Сингапуре,21,"{'Сингапур': 4, 'Сингапуре': 17}"
капштат,Капштате,21,"{'Капштате': 9, 'Капштата': 7, 'Капштат': 5}"
гонконг,Гонконге,18,"{'Гонконга': 4, 'Гонконг': 4, 'Гонконге': 10}"
кит,Китая,17,{'Китая': 17}
портсмут,Портсмут,16,"{'Портсмуте': 5, 'Портсмут': 7, 'Портсмута': 4}"
америк,Америку,13,"{'Америку': 7, 'Америке': 3, 'Америки': 3}"
инд,Индии,11,{'Индии': 11}
иркутск,Иркутска,11,"{'Иркутска': 8, 'Иркутску': 3}"
сандвичев,Сандвичевых,11,"{'Сандвичевых': 7, 'Сандвичевы': 4}"
африк,Африке,11,{'Африке': 11}
москв,Москве,11,"{'Москву': 3, 'Москвы': 3, 'Москве': 5}"
мадер,Мадере,11,"{'Мадере': 8, 'Мадеру': 3}"
шанх,Шанхая,10,{'Шанхая': 10}
охотск,Охотского,10,"{'Охотском': 4, 'Охотского': 6}"
пекин,Пекине,9,"{'Пекине': 6, 'Пекин': 3}"
лю-ч,Лю-чу,9,{'Лю-чу': 9}
яв,Яве,8,{'Яве': 8}
австрал,Австралии,8,"{'Австралии': 5, 'Австралию': 3}"
устер,Устере,8,"{'Устере': 4, 'Устера': 4}"
сан-франциск,Сан-Франциско,7,{'Сан-Франциско': 7}
сибир,Сибири,7,"{'Сибирь': 3, 'Сибири': 4}"
анжер,Анжере,7,"{'Анжера': 3, 'Анжере': 4}"
кронштадт,Кронштадта,7,"{'Кронштадта': 4, 'Кронштадте': 3}"
батав,Батавию,5,{'Батавию': 5}
лен,Лену,5,{'Лену': 5}
камчатк,Камчатки,5,{'Камчатки': 5}
кичиб,Кичибе,5,{'Кичибе': 5}
китайск,Китайском,4,{'Китайском': 4}
кор,Кореи,4,{'Кореи': 4}
пассиг,Пассиг,4,{'Пассиг': 4}
посьет,Посьета,4,{'Посьета': 4}
остров бонин-сим,ОСТРОВА БОНИН-СИМА,4,{'ОСТРОВА БОНИН-СИМА': 4}
саймонстоун,Саймонстоун,4,{'Саймонстоун': 4}
зелен,Зеленого,4,{'Зеленого': 4}
веллингтон,Веллингтон,3,{'Веллингтон': 3}
киренск,Киренска,3,{'Киренска': 3}
мака,Макао,3,{'Макао': 3}
бразил,Бразилии,3,{'Бразилии': 3}
аян,Аяне,3,{'Аяне': 3}
тих,Тихий,3,{'Тихий': 3}
ая,Аян,3,{'Аян': 3}
дан,Дании,3,{'Дании': 3}
гамильтон,Гамильтоне,3,{'Гамильтоне': 3}
нипон,Нипоне,3,{'Нипоне': 3}
бонинсим,Бонинсима,3,{'Бонинсима': 3}
балтийск,Балтийском,3,{'Балтийском': 3}
соединен штат,Соединенных Штатах,3,{'Соединенных Штатах': 3}
каннингам,Каннингама,3,{'Каннингама': 3}
янсекия,Янсекиян,3,{'Янсекиян': 3}
бен,Бену,3,{'Бену': 3}
порто-прай,Порто-Прайя,3,{'Порто-Прайя': 3}
восток,Востоке,3,{'Востоке': 3}
татарск,Татарском,3,{'Татарском': 3}
