topic_id,episode_id,section_id,episode_title,primary_place,topic_weight,text_fragment
0,E045,S03,,,0.9984,"Изумленный глаз смотрит вокруг, не увидит ли руки, которая, играя, строит воздушные видения. Тихо, нежно и лениво ползут эти тонкие и прозрачные узоры в золотой атмосфере, как мечты тянутся в дремлющей душе, слагаясь в пленительные образы и разлагаясь опять, чтоб слиться в фантастической игре… Пусть живописцы найдут у себя краски, пусть хоть назову"
0,E043,S03,,Англии,0.9983,"Рассчитывали на дующие около того времени вестовые ветры, но и это ожидание не оправдалось. В воздухе мертвая тишина, нарушаемая только хлопаньем грота. Ночью с 21 на 22 февраля я от жара ушел спать в кают-компанию и лег на диване под открытым люком. Меня разбудил неистовый топот, вроде трепака, свист и крики. На лицо упало несколько брызг. ""Шквал!"
0,E044,S03,,,0.9983,"Отстаньте от меня: вы все в беду меня вводите!"" – с злобой прошептал он, отходя от меня как можно дальше, так что чуть не шагнул за борт. ""Десерта не будет, – заключил он почти про себя, – Зеленый и барон по ночам всё поели, так что в воскресенье дам по апельсину да по два банана на человека"". Иногда и не спросишь его, но он сам не утерпит. ""Сегодн"
1,E050,S04,,Капштате,0.9987,"Стелленбош славится в колонии своею зеленью, фруктами и здоровым воздухом. От этого сюда стекаются инвалиды и иностранцы, нанимают домы и наслаждаются тенью и прогулками. В неделю два раза ходят сюда из Капштата омнибусы; езды всего по прямой дороге часов пять. Окрестности живописны: всё холмы и долины. Почва состоит из глины, наносного ила, железн"
1,E158,S10,,Фогу,0.9985,"На другой день, вставши и пообедавши, я пошел, уже по знакомым улицам, в магазины купить и заказать кое-что. В улице, налево от гостиницы, сказали мне, есть магазин: четвертый или пятый дом. Я прошел шестой, а всё магазина не вижу, и раза два ходил взад и вперед, не подозревая, что одно широкое, осененное деревьями крыльцо и есть вход в магазин. Ме"
1,E199,S13,Февраль 1854 г.,МАНИЛА — От Лю-чу до Манилы,0.9985,"Лишь только встали мы утром 16 февраля, я вышел на ют смотреть Манилу. ""Где же она?"" – думал я, поглядев вокруг себя: пусто! Мы, по-вчерашнему, в море; вдали синеют берега; это мы видели всякий день, идучи под берегом Люсона. ""Да где же Манила?"" – спрашиваю. ""А вон, вон"", – говорит дед, показывая пальцем вдаль. ""Да вы не туда смотрите; вон где!"" – "
2,E114,S09,,Едо,0.9984,"Давно ли сарказмом отвечали японцы на совет голландского короля отворить ворота европейцам? Им приводили в пример китайцев, сказав, что те пускали европейцев только в один порт, и вот что из этого вышло: открытие пяти портов, торговые трактаты, отмена стеснений и т. п. ""Этого бы не случилось с китайцами, – отвечали японцы, – если б они не пускали и"
2,E160,S10,,Китае,0.9984,"Причины возвышения Шанхая заключаются в выгодном его географическом положении на огромной реке, на которой выше его лежит несколько многолюдных торговых мануфактурных городов, между прочим Нанкин и Сучеу-Фу. Шанхай сам по себе ничтожное место по народонаселению; в нем всего (было до осады) до трехсот тысяч жителей: это мало для китайского города, н"
2,E106,S09,,Китае,0.9983,"Сравните японское воспитание с китайским: оно одинаково. Одна и та же привилегированная, древняя религия синто, или поклонение небесным духам, как и в Китае, далее буддизм. Но и тут и там господствует более нравственно-философский, нежели религиозный, дух и совершенное равнодушие и того и другого народа к религии. Затем одинакое трудолюбие и способ"
3,E209,S13,,МАНИЛА — От Лю-чу до Манилы,0.9984,"Минуты через три вдруг дверь начала потихоньку отворяться. ""Muchacho!"" – закричал я сердито. Вместо индийца показалось лицо Фаддеева. Как я обрадовался ему! ""Ты как?"" – ""Белье и платье принес вашему высокоблагородию"". – ""Уйми, братец, воду как-нибудь, – жаловался я ему, – смотри, ведь я тону"". Фаддеев тут только вникнул в мое положение и, верный св"
3,E201,S13,,МАНИЛА — От Лю-чу до Манилы,0.9984,"На нас с любопытством поглядывала толпа слуг-индийцев, большею частью мальчишек. Впрочем, тагалы вообще невысоки ростом и моложавы на вид. ""Лимонаду!"" – спросили мы, и вся толпа слуг разом бросилась вон, так что пол, столы, стулья – всё заходило в зале. Тут я разглядел, что полы, потолки – всё это выстроено чересчур на живую нитку. Я сквозь щели до"
3,E270,S16,,Российской Америке,0.9982,"Если хотите подробнее знать о состоянии православной церкви в Российской Америке, то прочтите изданную, под заглавием этим, в 1840 году брошюру протоиерея И. Вениаминова. Теперь он, то есть преосвященный Иннокентий, подвизается здесь на более обширном поприще, начальствуя паствой двухсот тысяч якутов, несколька тысяч тунгусов и других племен, раски"
